Cuenta,Contacto,Puesto,Celular,Correo_electronico,Stage,Visitas_Web,Emails_Abiertos,Llamadas_Realizadas,Presupuesto_Estimado,Sector,Tamaño_Empresa,Antiguedad_Cuenta_Meses,Interacciones_Totales,Cliente
Travis and Sons,Jacob Medina,Gerente de Marketing,516184845,hdorsey@example.org,selling,7,0,5,40237,Manufactura,Grande,26,12,0
Swanson LLC,Deborah Jennings,CEO,928554284,gatesgary@example.org,closing,0,3,0,27863,Educación,Pequeña,7,3,0
Morris LLC,Heather Hart,Especialista de Producto,162897476,holtchristopher@example.org,closing,5,1,3,33337,Retail,Pequeña,23,9,0
Stephens LLC,Krystal Perkins,Ejecutivo de Ventas,031021710,tonyarogers@example.com,closing,8,2,1,30242,Educación,Pequeña,30,11,0
"Benson, Baker and Allen",Jennifer Tucker,Ejecutivo de Ventas,036345602,david56@example.org,qualifying,5,4,1,39646,Retail,Pequeña,38,10,0
King Group,Mr. Michael Miller,CTO,691479247,joseph93@example.com,qualifying,5,1,0,18444,Tecnología,Pequeña,20,6,0
Payne Group,Erik Garcia,Ejecutivo de Ventas,971475933,ivance@example.com,negotiating,3,0,0,31794,Servicios,Pequeña,24,3,0
Harper-Walker,Michelle Tran,CEO,423766303,greenbrianna@example.org,closing,7,2,1,38426,Educación,Pequeña,43,10,0
Castillo-Kim,Katrina Clarke,Consultor,908683402,jacquelinemorgan@example.org,negotiating,3,5,0,49277,Manufactura,Mediana,17,8,0
Jones Inc,Mallory Johnson,Analista,026155427,collinsmichael@example.net,selling,1,0,0,45830,Educación,Pequeña,30,1,0
Lewis-Lee,Elizabeth Johnson,CEO,335891503,jodifrazier@example.org,closing,4,1,1,18382,Salud,Pequeña,41,6,0
Taylor-Hall,Tammy Bryant,Especialista de Producto,239179225,lfinley@example.org,qualifying,5,4,1,42400,Salud,Mediana,12,10,0
Church Ltd,Christopher Martinez,Especialista de Producto,440144099,chandleremma@example.net,selling,6,3,0,31958,Servicios,Pequeña,30,9,0
"Hunter, Dickerson and Dennis",Michael Bright,Ejecutivo de Ventas,586981053,sarahmartin@example.net,selling,6,3,0,36812,Tecnología,Pequeña,15,9,0
Taylor and Sons,Anthony Conway,CEO,602123783,kyle61@example.net,qualifying,4,3,1,32718,Tecnología,Mediana,24,8,0
"Peters, Carroll and Riley",Sherry Pugh,CEO,762082569,fburns@example.com,closing,6,4,0,2656,Manufactura,Pequeña,6,10,0
Mcdowell-Roberts,James Edwards,Ejecutivo de Ventas,866112375,michaelscott@example.org,closing,3,1,0,24848,Manufactura,Grande,27,4,0
Gonzalez Group,Scott Jones,Ejecutivo de Ventas,221458794,bryantcurtis@example.com,selling,9,1,2,35343,Educación,Grande,45,12,0
Kelly LLC,Jeremy Horn,Ejecutivo de Ventas,072040055,bellerin@example.net,negotiating,9,3,0,20940,Manufactura,Pequeña,29,12,0
Coleman-Graham,William Page,Gerente de Marketing,409993118,katherinetaylor@example.org,selling,4,1,1,41414,Tecnología,Pequeña,30,6,0
Harper-Taylor,Cathy Thomas,CEO,180193193,melissa73@example.com,negotiating,2,1,0,-1339,Salud,Grande,45,3,0
"Harrison, Hood and Brown",Drew Eaton,Gerente de Marketing,930374886,penachristie@example.com,closing,1,2,0,4645,Educación,Pequeña,10,3,0
"Padilla, Kelley and Morris",Adrian Bush,Analista,238998813,hailey95@example.com,qualifying,4,3,1,17641,Tecnología,Pequeña,39,8,0
Graham-Bradford,Kyle Davis,Analista,954992085,christiegarner@example.com,negotiating,7,0,0,5515,Retail,Grande,11,7,0
Brown-Love,William Anderson,CTO,428703966,xthomas@example.org,negotiating,4,1,0,38047,Tecnología,Pequeña,28,5,0
"Short, Valencia and Myers",Leslie Smith,Analista,910625720,qturner@example.org,selling,0,4,2,47667,Manufactura,Pequeña,31,6,0
Kelly LLC,Alexis Boyd,CTO,555001978,sheila35@example.com,closing,2,1,0,16739,Servicios,Pequeña,19,3,0
Williams-Adkins,Paul Beard,Analista,365333902,ryan13@example.net,closing,1,3,2,1603,Salud,Pequeña,35,6,0
Cantu Inc,Phillip Medina,CTO,857884550,nelsonrebecca@example.com,negotiating,1,1,0,16931,Educación,Mediana,10,2,0
Long-Clark,Kelly Hinton,Ejecutivo de Ventas,682119699,justin57@example.com,selling,7,0,1,8896,Educación,Pequeña,22,8,0
"Mendoza, Barton and Reyes",Douglas Ferguson,Especialista de Producto,356607140,janice15@example.com,selling,3,0,1,26007,Educación,Pequeña,26,4,0
Norton PLC,Dr. Chad Tucker,Ejecutivo de Ventas,477806843,amanda50@example.org,qualifying,5,2,1,23311,Salud,Pequeña,7,8,0
Martinez-Harris,Sonya Nelson,Especialista de Producto,160669465,jacobjohnson@example.org,qualifying,5,0,0,7220,Servicios,Grande,37,5,0
"Bowers, Williams and Gonzalez",Jeremy Kennedy MD,Ejecutivo de Ventas,404845247,joneskimberly@example.com,selling,8,4,0,19945,Manufactura,Grande,19,12,0
Miller-Novak,Shane Pacheco,Gerente de Marketing,020025787,solomonroberto@example.org,qualifying,4,1,1,51656,Manufactura,Mediana,10,6,0
Hill LLC,Kathryn Jacobs,Gerente de Marketing,024277753,josephpatterson@example.com,selling,5,5,0,33443,Servicios,Grande,24,10,0
"Gonzales, Thornton and Aguilar",Sydney Vaughn,CTO,666129879,james85@example.com,selling,6,3,0,3352,Educación,Pequeña,39,9,0
Brooks-Wilson,Ashley Melendez,Consultor,604553986,deborahross@example.org,negotiating,4,2,3,16837,Manufactura,Grande,26,9,0
Henry-Reed,Amy Jones,Gerente de Marketing,975807910,tsmith@example.org,negotiating,4,0,0,50711,Educación,Mediana,18,4,0
Dawson Ltd,Ashley Blake,CEO,280421940,zmoore@example.org,qualifying,0,1,1,18343,Salud,Pequeña,43,2,0
White Inc,Scott Burnett,CEO,312396736,harristamara@example.net,closing,5,2,0,12787,Retail,Pequeña,15,7,0
Davis-Duncan,Ruth Lopez,Consultor,274182853,danielalexander@example.org,qualifying,2,1,0,52464,Educación,Grande,15,3,0
Rowe-Brown,Norman Allen,Gerente de Marketing,412326996,nunezbryan@example.org,selling,0,2,0,24208,Retail,Grande,22,2,0
Horton PLC,Keith Fuller,Especialista de Producto,667134446,michaelpatrick@example.org,closing,1,4,0,25015,Tecnología,Pequeña,14,5,0
"Bradley, Moss and Shields",Timothy Nixon,Consultor,665413672,falvarez@example.org,negotiating,5,2,1,46469,Tecnología,Grande,8,8,0
Navarro-Sherman,Kimberly Arnold,CTO,434399231,hornrobert@example.net,qualifying,3,2,1,46353,Manufactura,Pequeña,28,6,0
"Moss, Lee and Perez",William Alexander,CEO,498366820,tammymills@example.com,selling,1,2,1,13149,Educación,Mediana,6,4,0
Simmons-Douglas,Susan Torres,CTO,773595691,michelle13@example.com,selling,2,1,1,47665,Tecnología,Mediana,28,4,0
Koch Group,Emma Zavala,Analista,523065434,jwang@example.org,selling,1,3,1,40770,Manufactura,Grande,21,5,0
"James, Choi and Salinas",David Henry,CEO,561114930,vharrison@example.com,closing,6,3,1,44076,Educación,Pequeña,11,10,0
"Morris, Obrien and Ferrell",Mr. Johnathan Martinez Jr.,Consultor,139345174,rosemonica@example.com,selling,2,0,2,6844,Servicios,Pequeña,28,4,0
"Johnson, Saunders and Sims",Brendan Davis,Gerente de Marketing,905393059,christopher25@example.net,qualifying,2,3,0,41374,Tecnología,Pequeña,11,5,0
"Robertson, Mccarthy and Macdonald",Angela Phillips,CEO,663555857,triciacalhoun@example.net,negotiating,2,0,2,30643,Retail,Pequeña,21,4,0
Rollins-Nelson,Kyle Mayer,CEO,277348730,tmiller@example.org,negotiating,6,1,1,33673,Retail,Pequeña,31,8,0
Avila LLC,Erin Mcknight,Analista,100302550,heather70@example.com,closing,2,0,1,19875,Salud,Pequeña,26,3,0
"Thomas, Mckinney and Tanner",Ryan Bell,Consultor,641934829,sharonthomas@example.org,closing,0,2,4,29395,Salud,Pequeña,24,6,0
"Cross, Thompson and Moore",Kenneth Banks,Consultor,264059282,traciramirez@example.net,negotiating,3,1,0,26657,Salud,Pequeña,21,4,0
Bell-Smith,Alexandra Mcguire,Ejecutivo de Ventas,037461908,kaufmannathaniel@example.net,selling,4,1,0,18771,Tecnología,Pequeña,11,5,0
"Rodriguez, Davis and Johnson",Stephen Harris,CTO,417669877,rhammond@example.net,selling,4,3,1,41336,Retail,Pequeña,1,8,0
Brady Inc,Michelle Crosby,Consultor,883224499,tylerlynch@example.org,qualifying,5,1,2,18120,Retail,Mediana,35,8,0
"Leblanc, Pittman and Woods",Michelle Jones,Ejecutivo de Ventas,256960847,ljones@example.com,negotiating,7,2,0,35532,Manufactura,Mediana,34,9,0
"Mcgee, Jordan and Bowen",Dakota Williams,CEO,905848136,acooper@example.com,qualifying,6,1,0,45984,Manufactura,Pequeña,33,7,0
Gonzalez-Wiley,Phillip Jones,CEO,944113690,amber81@example.org,qualifying,1,2,2,32139,Servicios,Grande,8,5,0
Salinas Ltd,Donna Nguyen,Especialista de Producto,155527271,sullivanfrancis@example.com,selling,6,3,0,36824,Tecnología,Mediana,1,9,0
Brown-Conner,Kyle Young,Ejecutivo de Ventas,987988924,csmall@example.com,qualifying,2,2,0,40835,Manufactura,Pequeña,25,4,0
"Williams, Mccullough and Austin",Autumn Potter,Consultor,750383264,trujilloheather@example.net,qualifying,5,7,0,11748,Retail,Grande,33,12,0
"Powell, Robinson and Blair",Mark Butler,Consultor,896653689,foxstacey@example.net,qualifying,3,3,0,40364,Salud,Mediana,21,6,0
"Bell, Russell and Smith",Kristen Martinez,Analista,949961450,msingh@example.com,closing,3,5,0,4489,Educación,Pequeña,46,8,0
Montgomery-Tran,Tammy Shannon,CEO,491260443,kelly70@example.org,closing,2,3,0,37198,Salud,Mediana,28,5,0
"Anderson, Bell and Goodwin",Edward Moore,Consultor,697126611,donald77@example.com,selling,4,3,0,43688,Retail,Mediana,37,7,0
Bryant Group,Susan Warner,Ejecutivo de Ventas,565442474,turnercharles@example.com,closing,6,1,1,32773,Salud,Mediana,13,8,0
"Barnes, Lynch and Ramirez",Ashley Harris,CTO,988365122,cindy85@example.net,closing,5,1,1,25472,Salud,Pequeña,8,7,0
Walker-Booker,Emily Snyder,Especialista de Producto,998284291,raymondellis@example.org,selling,8,1,2,25482,Educación,Grande,30,11,0
Mendoza-Hubbard,Lori Jones,Ejecutivo de Ventas,145725116,xpowell@example.com,closing,3,1,2,5421,Educación,Mediana,13,6,0
Anderson-West,Christopher Tyler,Consultor,807429273,jameshodge@example.net,closing,6,3,0,28959,Manufactura,Grande,5,9,0
"Leblanc, Rasmussen and Humphrey",Joseph Bonilla,Ejecutivo de Ventas,768102534,phelpsbrittany@example.org,qualifying,5,5,0,16776,Retail,Grande,34,10,0
Mccullough-Reed,Cassidy Lucas,Consultor,657938554,dturner@example.com,qualifying,3,3,0,9924,Manufactura,Mediana,18,6,0
Rhodes LLC,Jennifer Scott,Especialista de Producto,911790771,iday@example.org,qualifying,3,2,0,26494,Retail,Pequeña,47,5,0
"Baker, Crawford and Hamilton",Vincent Fields,Gerente de Marketing,362828336,cstevens@example.com,closing,6,2,1,32583,Educación,Pequeña,4,9,0
"Hess, Morris and Wilcox",Jennifer Perez,Ejecutivo de Ventas,737448251,tcummings@example.com,selling,0,3,1,21752,Salud,Pequeña,32,4,0
"Ramirez, Diaz and Bowman",Kent Brown,Analista,551232591,brandi68@example.com,qualifying,2,0,0,49317,Retail,Pequeña,32,2,0
"Conrad, Clarke and Barnes",Beth Ford,Consultor,665573167,msalinas@example.net,closing,2,2,1,7335,Salud,Pequeña,12,5,0
"Pierce, Wilson and Lawson",Dorothy Everett,Gerente de Marketing,623573191,leewendy@example.com,closing,2,2,0,23385,Manufactura,Pequeña,28,4,0
Esparza LLC,Amy Young,CEO,896971846,uliu@example.com,selling,0,0,1,30883,Retail,Grande,1,1,0
Marshall-Moore,Douglas Anderson,Analista,894288413,novakpatrick@example.net,selling,4,1,0,17003,Educación,Pequeña,43,5,0
"Gonzalez, Parker and Jennings",Anthony Dixon,Analista,505593645,roweashlee@example.net,selling,4,1,0,36675,Manufactura,Pequeña,17,5,0
Le and Sons,Lisa Newton,Consultor,788008498,lauracruz@example.org,closing,2,2,1,34959,Tecnología,Mediana,1,5,0
Fields LLC,Susan Smith,Consultor,636362287,lindahudson@example.com,negotiating,3,1,0,6230,Salud,Pequeña,24,4,0
Macdonald PLC,Sonya Hurst,Analista,252987457,tammy37@example.com,qualifying,2,3,0,4009,Servicios,Mediana,14,5,0
Gonzales-Johnson,John Anderson,Analista,446718006,kcoleman@example.com,negotiating,3,2,1,17369,Salud,Grande,30,6,0
Shields Ltd,Todd Vega,Especialista de Producto,792975914,smallautumn@example.com,qualifying,1,5,0,45043,Manufactura,Pequeña,36,6,0
"Anderson, Brown and Garcia",Tammy White,CEO,798358527,arobertson@example.com,selling,6,0,0,14130,Retail,Grande,1,6,0
Hawkins-Dunlap,Brandon Garcia,Gerente de Marketing,885841063,mcintyreangela@example.org,closing,3,2,0,26174,Manufactura,Mediana,31,5,0
Frazier-Weiss,Scott Middleton,Especialista de Producto,938630726,ldavis@example.net,closing,5,3,3,18493,Salud,Pequeña,29,11,0
"Reeves, Bruce and Galloway",Monique Schmidt,Gerente de Marketing,186514787,thomas47@example.org,negotiating,7,5,0,26935,Retail,Mediana,39,12,0
"Casey, Payne and Meza",Julia Jimenez,Analista,720529177,mariathomas@example.com,negotiating,5,3,2,45189,Manufactura,Mediana,42,10,0
Watson LLC,Christopher Jones,CTO,155092251,adamskelly@example.com,qualifying,3,0,0,40122,Educación,Grande,38,3,0
Duncan PLC,Christian Hayes,CEO,448630976,livingstonmargaret@example.net,negotiating,4,3,0,13949,Salud,Grande,37,7,0
Watts and Sons,Maria Collins,Especialista de Producto,107288208,knightmadeline@example.net,closing,5,2,2,21886,Servicios,Mediana,5,9,0
James-Brown,Christine Cabrera,CEO,013996200,vandrews@example.com,closing,0,1,1,13098,Servicios,Mediana,44,2,0
"Taylor, Davidson and Stout",William Bailey,Consultor,173723423,matthewpeterson@example.com,selling,4,0,2,3477,Servicios,Pequeña,20,6,0
"Larsen, Santos and Hendrix",Daniel Wiley,Gerente de Marketing,709334206,andersonmarcus@example.net,closing,4,2,0,32082,Educación,Pequeña,18,6,0
Jones-Dunlap,Brandon Garcia,Especialista de Producto,784285511,james16@example.net,selling,4,1,0,40312,Manufactura,Pequeña,31,5,0
Garcia-Howard,Blake Hawkins,Especialista de Producto,043949142,derekparker@example.com,closing,4,3,0,21097,Retail,Pequeña,9,7,0
Rich-Duncan,Donna Taylor,Especialista de Producto,418686538,fordsamantha@example.org,selling,4,1,0,7035,Educación,Mediana,7,5,0
Gomez Inc,Edward Mclaughlin,Especialista de Producto,472487357,kcollins@example.org,closing,2,4,0,29575,Retail,Pequeña,28,6,0
Guzman Inc,Lauren Contreras,CTO,239835998,fmorse@example.com,closing,1,3,0,33460,Retail,Pequeña,23,4,0
Bailey Ltd,Olivia Moore,Especialista de Producto,024007680,susan58@example.net,selling,5,4,0,32266,Servicios,Pequeña,46,9,0
Sloan-Nunez,Jeffery Flowers,Ejecutivo de Ventas,911281907,ryanchristopher@example.com,qualifying,8,3,0,4493,Manufactura,Pequeña,27,11,0
Walker-Brown,Richard Morgan,CEO,381456803,christopher28@example.org,negotiating,6,2,0,19357,Tecnología,Grande,7,8,0
Cervantes Group,Mark Nicholson,Gerente de Marketing,510001865,eric60@example.net,closing,3,1,0,47259,Manufactura,Pequeña,34,4,0
Richardson Inc,Jody Torres,CEO,499890716,younglisa@example.com,negotiating,2,1,0,14819,Salud,Pequeña,2,3,0
Morales LLC,Caitlyn Jones,Analista,425581052,kathy18@example.net,negotiating,2,1,0,35315,Salud,Grande,10,3,0
Bates-Haas,Lisa Hudson,Consultor,585954658,jennifer50@example.org,negotiating,5,6,0,35906,Salud,Pequeña,15,11,0
Downs PLC,Diane Smith,Especialista de Producto,004097541,christopher59@example.org,qualifying,3,1,1,19402,Retail,Mediana,47,5,0
"Blanchard, Fritz and Reed",Michelle Pena,Especialista de Producto,494501979,nmartinez@example.net,closing,1,3,0,31911,Educación,Pequeña,31,4,0
"Garcia, Miller and Hicks",Kristin Barnes,Especialista de Producto,390757049,amanda68@example.org,closing,0,0,1,38773,Tecnología,Pequeña,45,1,0
"Phillips, Moore and Mooney",Tracy Mitchell,CTO,156895710,chall@example.com,qualifying,4,4,1,23090,Servicios,Grande,45,9,0
Flores-Long,Robert Jennings DDS,Especialista de Producto,393600349,grossjames@example.org,selling,5,1,0,28284,Salud,Pequeña,26,6,0
"Kelly, Bell and Hodge",Roger Day,CTO,103779036,progers@example.net,negotiating,5,2,0,17674,Tecnología,Pequeña,6,7,0
"Boyer, Smith and Velasquez",Randall West,Especialista de Producto,454081574,joshua92@example.org,qualifying,4,5,0,25419,Servicios,Mediana,17,9,0
Wilson-Moore,Maria Benton,Consultor,963049329,chad40@example.com,closing,0,2,3,23158,Educación,Pequeña,11,5,0
Anderson-Cruz,John Romero,Gerente de Marketing,001091940,daniel49@example.net,negotiating,3,1,2,1511,Retail,Pequeña,46,6,0
"Medina, Moran and Robbins",Christina Mays,CEO,597468333,alan00@example.com,qualifying,2,6,0,28274,Tecnología,Pequeña,15,8,0
Glover-Thomas,Richard Vazquez,Gerente de Marketing,625518847,joshuabranch@example.org,qualifying,2,1,4,15572,Educación,Mediana,23,7,0
"Callahan, Rowland and Clark",Larry Brooks,Consultor,458173061,carrie62@example.org,closing,3,4,0,22116,Servicios,Mediana,33,7,0
"Davis, Durham and Kennedy",Samantha Long,Especialista de Producto,485678689,daniel70@example.net,selling,2,4,0,7681,Servicios,Pequeña,31,6,0
Flynn-Arroyo,Robert Stevens,Analista,463669291,brianjohnson@example.net,closing,8,4,0,10568,Retail,Mediana,22,12,0
"Tate, Martinez and Hill",Michael Nguyen,Gerente de Marketing,298071796,lbowman@example.org,closing,4,2,0,24363,Educación,Mediana,16,6,0
"Haynes, Ramirez and Lee",Lisa Smith,Gerente de Marketing,336870606,ukennedy@example.net,qualifying,4,3,0,8371,Retail,Mediana,47,7,0
Haley Ltd,Courtney Johnson,CTO,979460500,martinezvictoria@example.net,selling,4,1,0,31826,Tecnología,Grande,9,5,0
"Sosa, Atkinson and Lambert",Ashlee Haas,CTO,871467187,lewisdenise@example.org,selling,4,1,0,5710,Salud,Mediana,28,5,0
Johnson-Manning,Allison Gallagher,CTO,935318609,luis39@example.org,selling,0,0,0,37623,Manufactura,Pequeña,13,0,0
Wilson LLC,Tammy Williams,CEO,145382548,scottgallagher@example.net,selling,4,3,0,22577,Tecnología,Grande,18,7,0
"Jensen, Hampton and Christian",Jerry Bryant,Gerente de Marketing,086521335,tfrazier@example.com,closing,1,0,2,34415,Retail,Grande,35,3,0
"Green, Stanton and Rogers",Steven Stevens,CTO,809555456,elizabethnunez@example.org,qualifying,4,5,0,20014,Educación,Pequeña,24,9,0
"Ray, Green and Hansen",Jonathan Thomas,Consultor,126983612,tracyparsons@example.net,negotiating,5,0,1,21321,Salud,Grande,19,6,0
"Lester, Harrison and Jones",Allen Miller,Analista,679681880,jessica04@example.org,selling,9,0,0,6428,Salud,Pequeña,14,9,0
Taylor-Park,Lawrence Frye,Analista,150131162,smorris@example.com,selling,1,2,1,44059,Servicios,Pequeña,30,4,0
Cox-Rodriguez,Nicole York,CEO,802990348,aperkins@example.org,closing,5,0,1,13082,Servicios,Pequeña,10,6,0
Rogers-Robertson,Eric Kemp,Ejecutivo de Ventas,903719328,vkane@example.net,negotiating,2,1,0,25085,Retail,Pequeña,28,3,0
Barrett LLC,Eric Cruz,Gerente de Marketing,097258893,brittney47@example.org,qualifying,6,0,1,5714,Salud,Mediana,24,7,0
Bailey and Sons,Aaron Maldonado,CTO,629180502,goneill@example.com,qualifying,3,4,0,47118,Servicios,Pequeña,8,7,0
"Robertson, Nguyen and Zamora",Emily Thompson,CTO,683865298,thomaslewis@example.org,negotiating,5,0,1,-703,Servicios,Pequeña,8,6,0
Wilson and Sons,Michael Larson,CEO,008347612,adrianmcneil@example.com,qualifying,1,2,1,38052,Servicios,Mediana,2,4,0
Brown-Jones,Danielle Randall,Especialista de Producto,533959403,michaelsmith@example.org,qualifying,2,1,2,10436,Manufactura,Mediana,19,5,0
"Powers, Smith and Kennedy",Robin Rasmussen,Gerente de Marketing,839509400,liedward@example.net,closing,3,3,0,50153,Servicios,Grande,24,6,0
Nguyen-Henry,Sean Lozano,CEO,615609906,patelmark@example.org,qualifying,4,1,4,7038,Manufactura,Pequeña,3,9,0
Holmes-Davila,Michael Hernandez,Gerente de Marketing,674482787,randymalone@example.net,negotiating,0,2,0,18146,Tecnología,Pequeña,9,2,0
Curry-Reynolds,Dr. Crystal George,Especialista de Producto,579724886,catherine22@example.org,closing,6,1,0,50552,Manufactura,Mediana,8,7,0
Bates Inc,Kyle Munoz,Ejecutivo de Ventas,998248613,rebekah07@example.com,negotiating,0,1,0,50185,Educación,Pequeña,7,1,0
Weiss-Davis,Ryan White,Analista,835149515,melanie39@example.com,closing,2,2,0,17605,Salud,Grande,37,4,0
Buck PLC,Dylan Wilson,Especialista de Producto,723645201,spetty@example.com,closing,4,3,0,20399,Servicios,Pequeña,9,7,0
"Turner, James and Tucker",Adam Peterson,Gerente de Marketing,188668926,henrygabriel@example.com,negotiating,1,1,0,16463,Manufactura,Pequeña,26,2,0
Hernandez LLC,Kathy Lopez,Gerente de Marketing,881508850,zamorasean@example.com,closing,3,3,1,33148,Tecnología,Mediana,22,7,0
Rose Inc,Kathryn Riley,Gerente de Marketing,886082633,gonzalezedwin@example.com,negotiating,2,2,1,28465,Salud,Pequeña,5,5,0
Davis Group,Jessica Reed,Especialista de Producto,766929477,cwolf@example.net,selling,0,1,2,38466,Educación,Pequeña,47,3,0
Holloway Ltd,Ms. Crystal Baker MD,Analista,497046961,zjordan@example.net,qualifying,5,3,2,50274,Salud,Grande,6,10,0
"Hogan, Hinton and Smith",Brianna Smith,Gerente de Marketing,805705202,adam12@example.org,selling,2,3,0,41026,Retail,Pequeña,19,5,0
